timestamp	filename	caption	location_lat	location_lng	location_alt	location_acc	slug	hashtag_names
1717205154	20240601012554_27798.png	黄色い標識。鹿との衝突を避けるための標識となっているようだ。黄色にすることで、注意喚起の意味をこめている	-1.0	-1.0	0.0	0.0	20240601012554_27798	さわのならまち実験
1717205112	20240601012511_d6653.png	標識に多くの落書きがされてる！観光者が自分が来たサインを残したかったのかな？でも落書き禁止だから自分はないようにしよ、、	34.68435274905961	135.83414009784892	95.18692398071288	3.5355339059327373	20240601012511_d6653	さわのならまち実験
1717205337	20240601012856_0ffde.png	鹿せんべい販売所。外国人が多く撮るのが大変だったが、頑張って撮った。鹿も周りにたくさんいた。	-1.0	-1.0	0.0	0.0	20240601012856_0ffde	さわのならまち実験
1717205384	20240601012944_0024c.png	記念碑？みたいなの発見！観光者にとって説明書きがされてるのはありがたい！知識が深まりました！	34.684473754749625	135.83419116619174	97.3846321105957	57.0	20240601012944_0024c	さわのならまち実験
1717205459	20240601013058_4a787.png	奈良国立博物館！今回は時間が無いから入れないけど、いつか来て歴史に触れてみたいなー	34.683852199695224	135.83495359493122	101.66376113891602	86.97768960281778	20240601013058_4a787	さわのならまち実験
1717205456	20240601013056_4c4c9.png	奈良国立博物館。開放はしていなかったため入場できなかったが、本来は様々なものが展示されている。	-1.0	-1.0	0.0	0.0	20240601013056_4c4c9	さわのならまち実験
1717205595	20240601013314_b55d5.png	鹿せんべいを売っているお店に飾られていたぬいぐるみ。とても愛くるしく、かわいいためとってしまった。	-1.0	-1.0	0.0	0.0	20240601013314_b55d5	さわのならまち実験
1717205597	20240601013317_ebd6e.png	観光者向けの休憩所！歩いて疲れたところに畳で休憩できるのも、同時に和を感じられるのもいいねー	34.68308390280045	135.8362202339869	102.24952697753906	40.0	20240601013317_ebd6e	さわのならまち実験
1717205646	20240601013405_7b352.png	わらびもち屋さんに飾られていたぬいぐるみ、鹿せんべいに括り付けられていてちょっとかわいそうだったけど可愛かった。	-1.0	-1.0	0.0	0.0	20240601013405_7b352	さわのならまち実験
1717205659	20240601013419_b7d74.png	奈良っぽいご飯！抹茶を飲めるのも和をかんじられていいし、休憩にピッタリだねー！美味しかったです！	34.682729090596254	135.83616717731192	103.2175636291504	4.107477465769847	20240601013419_b7d74	さわのならまち実験
